id,rating,might,fights
1051007,554,16956,500
395648,857,21776,500
264582,1525,28589,500
1444232,514,16793,500
721303,529,15613,500
788878,1114,24450,500
919952,622,17480,500
788884,987,23956,500
1444246,-1,2148,186
1507737,63,4008,443
1547665,97,4884,463
1485892,293,9259,498
395675,2441,34016,500
788892,1493,28004,500
395677,1302,26547,500
1420357,403,13466,500
1051041,673,19419,500
788899,1077,23893,500
133540,2889,37024,497
502854,877,22048,500
133544,460,14505,500
264617,1341,27134,500
133546,1553,28082,500
1051051,1729,29995,500
788908,1302,26941,500
133549,1947,31591,500
657840,2569,35498,500
133553,1999,31714,500
113560,661,18386,500
1529587,213,7919,495
133558,2261,33273,500
1470926,-10,1528,91
526777,509,15132,500
526779,1050,24530,500
264637,1485,27661,500
218241,2350,33815,500
481013,1792,30167,500
721312,1268,26107,500
1444290,254,8650,500
657860,1092,24026,500
788933,2064,31940,500
788934,1032,23778,500
788935,1003,23896,500
1182152,862,21882,500
788939,773,20386,500
133581,1457,27967,500
264657,1580,28619,500
133589,2408,33992,500
133591,1462,27516,500
1311141,581,16935,500
920034,1040,23117,500
1444323,655,18240,500
264676,2476,34642,500
590246,1212,25417,500
1328866,278,10712,500
920040,1471,27862,500
1444329,274,9461,500
1182186,623,18414,500
458359,206,7493,494
526828,954,22791,500
1313261,439,13606,500
395758,2056,31680,500
395759,2160,32696,500
264690,1385,27110,500
1289299,540,16184,500
788980,1112,25112,500
1529598,156,7046,496
1407129,579,17310,500
264697,1170,25315,500
133627,2398,33959,500
1444348,33,3948,443
1313279,503,15648,500
1051136,815,21291,500
920066,1064,24685,500
264707,1800,30285,500
788999,1549,28557,500
1051148,1527,28078,500
1388003,143,6642,490
526865,1185,25239,500
789012,520,16154,500
1309442,179,7379,497
133661,2389,34328,500
789022,1103,24803,500
1051167,1081,24443,500
526880,1823,30690,500
1289307,801,20336,500
1051173,738,19971,500
1051174,1111,24977,500
789032,680,18789,500
830556,-10,2744,279
133674,2031,32107,500
432174,-4,2027,170
1444398,-4,2045,174
395823,1671,29332,500
1313328,523,15294,500
1507763,-9,2726,289
371806,-1,3183,358
395832,1060,23701,500
1376692,288,10057,500
657980,975,23048,500
789056,652,18565,500
1551231,43,3982,433
1440379,500,15799,500
920133,1724,29831,500
1444423,-7,2846,303
789065,1666,29408,500
920138,1192,25676,500
1444428,141,6842,494
133710,991,23254,500
264785,1856,30468,500
1551459,-5,2575,264
920153,1110,24213,500
789082,621,17163,500
808719,888,22012,500
1313373,-9,2674,283
1444449,204,9263,497
1313379,409,13987,500
1551462,-10,2531,249
789095,873,21255,500
